pid,uptake_year,mc,uptake_group
19009,35,3,2
19015,36,3,2
19170,44,3,2
19178,37,3,2
19237,44,3,2
19242,31,3,2
19265,33,3,2
19304,31,3,2
19305,29,3,2
19307,43,3,2
19376,37,3,2
19411,41,3,2
19472,43,3,2
19498,43,3,2
19521,37,3,2
19569,42,3,2
19592,34,3,2
19659,44,3,2
19662,33,3,2
19788,29,3,2
19886,32,3,2
19889,44,3,2
19893,42,3,2
19905,28,3,2
19906,41,3,2
19945,36,3,2
20101,36,3,2
20194,31,3,2
20273,35,3,2
20450,29,3,2
20455,42,3,2
20521,32,3,2
20528,40,3,2
20577,26,3,2
20597,39,3,2
20622,44,3,2
20635,44,3,2
20674,32,3,2
20719,38,3,2
20857,43,3,2
20882,39,3,2
20897,30,3,2
20907,35,3,2
20993,44,3,2
21026,44,3,2
21063,32,3,2
21065,28,3,2
21097,43,3,2
21189,42,3,2
21234,43,3,2
21414,43,3,2
21547,42,3,2
21573,33,3,2
21577,43,3,2
21640,35,3,2
21764,33,3,2
21770,30,3,2
21772,33,3,2
21825,38,3,2
21890,31,3,2
22179,27,3,2
22183,44,3,2
22274,41,3,2
22375,25,3,2
22391,36,3,2
22506,33,3,2
22605,38,3,2
22639,38,3,2
23012,36,3,2
23114,44,3,2
23159,39,3,2
23170,35,3,2
23172,30,3,2
23235,33,3,2
23239,28,3,2
23273,34,3,2
23361,32,3,2
23365,34,3,2
23453,43,3,2
23508,33,3,2
23683,26,3,2
23780,30,3,2
23847,32,3,2
23891,41,3,2
23921,39,3,2
23941,38,3,2
24003,31,3,2
24048,40,3,2
24124,41,3,2
24169,44,3,2
24231,42,3,2
24233,38,3,2
24236,44,3,2
24339,32,3,2
24368,41,3,2
24475,41,3,2
24517,40,3,2
24525,42,3,2
24526,32,3,2
24532,36,3,2
24551,36,3,2
24590,29,3,2
24597,40,3,2
24611,27,3,2
24628,40,3,2
24709,42,3,2
24777,33,3,2
24801,35,3,2
24833,37,3,2
24876,36,3,2
24877,44,3,2
24929,43,3,2
25006,37,3,2
25031,42,3,2
25169,30,3,2
25188,34,3,2
25254,30,3,2
25264,43,3,2
25412,39,3,2
25547,36,3,2
25613,34,3,2
25635,44,3,2
25641,40,3,2
25650,43,3,2
25716,39,3,2
25726,44,3,2
25764,25,3,2
25808,33,3,2
25860,36,3,2
25922,43,3,2
25936,30,3,2
25998,39,3,2
26305,41,3,2
26321,43,3,2
26338,31,3,2
26340,28,3,2
26353,31,3,2
26404,29,3,2
26493,44,3,2
26499,38,3,2
26503,42,3,2
26636,28,3,2
26657,41,3,2
26692,32,3,2
26759,39,3,2
26788,30,3,2
26789,33,3,2
26821,39,3,2
26836,39,3,2
27056,31,3,2
27075,32,3,2
27083,39,3,2
27186,41,3,2
27233,41,3,2
27271,37,3,2
27272,36,3,2
27428,39,3,2
27430,31,3,2
27491,28,3,2
27562,34,3,2
27571,39,3,2
27596,42,3,2
27625,35,3,2
27752,35,3,2
27794,31,3,2
27845,35,3,2
27915,31,3,2
27945,37,3,2
27976,32,3,2
28103,35,3,2
28104,30,3,2
28138,42,3,2
28306,34,3,2
28328,40,3,2
28391,36,3,2
28395,30,3,2
28494,42,3,2
28496,42,3,2
28707,26,3,2
28838,28,3,2
28868,33,3,2
28873,43,3,2
28972,44,3,2
29040,44,3,2
29059,32,3,2
29100,38,3,2
29165,43,3,2
29193,34,3,2
29283,33,3,2
29351,38,3,2
29424,39,3,2
29459,43,3,2
29537,31,3,2
29572,39,3,2
29634,37,3,2
29660,41,3,2
29719,40,3,2
29828,33,3,2
29919,44,3,2
29995,40,3,2
30052,31,3,2
30308,26,3,2
30315,34,3,2
30316,37,3,2
30340,29,3,2
30533,32,3,2
30574,37,3,2
30657,33,3,2
30916,34,3,2
30920,33,3,2
31014,42,3,2
31052,37,3,2
31082,39,3,2
31126,35,3,2
31146,41,3,2
31158,44,3,2
31170,42,3,2
31177,42,3,2
31377,30,3,2
31436,32,3,2
31447,36,3,2
31457,34,3,2
31462,34,3,2
31469,28,3,2
31497,41,3,2
31538,36,3,2
31594,41,3,2
31635,44,3,2
31914,41,3,2
31918,39,3,2
31945,32,3,2
31971,25,3,2
32018,41,3,2
32098,30,3,2
32139,44,3,2
32200,41,3,2
32294,37,3,2
32326,33,3,2
32461,38,3,2
32467,32,3,2
32516,40,3,2
32643,37,3,2
32750,43,3,2
32784,37,3,2
32840,37,3,2
32842,42,3,2
32871,34,3,2
32876,38,3,2
32933,41,3,2
33009,32,3,2
33027,33,3,2
33059,30,3,2
33137,43,3,2
33186,38,3,2
33200,39,3,2
33239,37,3,2
33249,38,3,2
33317,33,3,2
33322,40,3,2
33367,38,3,2
33392,36,3,2
33415,32,3,2
33444,36,3,2
33518,43,3,2
33555,36,3,2
33634,32,3,2
33665,39,3,2
33672,32,3,2
33865,43,3,2
33890,31,3,2
33894,33,3,2
33976,44,3,2
34055,37,3,2
