pid,uptake_year,mc
100076723,25,5
100076777,25,5
100076944,25,5
100077148,25,5
100077249,25,5
100077279,25,5
100077318,25,5
100077342,25,5
100077375,25,5
100077399,25,5
100077400,25,5
100077515,25,5
100077524,25,5
100077619,25,5
100077908,25,5
100078017,25,5
100078080,25,5
100078181,25,5
100078345,25,5
100078369,25,5
100078442,25,5
100078502,25,5
100078523,25,5
100078542,25,5
100078742,25,5
100078793,25,5
100078830,25,5
100078900,25,5
100078922,25,5
100079050,25,5
100079074,25,5
100079238,25,5
100079272,25,5
100079300,25,5
100079316,25,5
100079408,25,5
100079442,25,5
100079451,25,5
100079467,25,5
100079472,25,5
100079648,25,5
100079675,25,5
100079748,25,5
100079785,25,5
100079856,25,5
100079861,25,5
100079866,25,5
100079902,25,5
100080234,25,5
100080303,25,5
100080397,25,5
100080537,25,5
100080663,25,5
100080768,25,5
100080884,25,5
100080913,25,5
100080945,25,5
100081039,25,5
100081128,25,5
100081193,25,5
100081228,25,5
100081359,25,5
100081527,25,5
100081538,25,5
100081680,25,5
100081750,25,5
100081826,25,5
100081882,25,5
100081883,25,5
100081950,25,5
100082252,25,5
100082289,25,5
100082457,25,5
100082550,25,5
100082577,25,5
100082636,25,5
100082780,25,5
100082787,25,5
100082790,25,5
100082808,25,5
100082844,25,5
100082925,25,5
100082970,25,5
100083022,25,5
100083283,25,5
100083393,25,5
100083414,25,5
100083424,25,5
100083429,25,5
100083459,25,5
100083570,25,5
100083675,25,5
100083717,25,5
100083738,25,5
100083805,25,5
100083844,25,5
100083853,25,5
100083857,25,5
100084036,25,5
100084179,25,5
100084183,25,5
100084193,25,5
100084222,25,5
100084244,25,5
100084297,25,5
100084353,25,5
100084388,25,5
100084399,25,5
100084566,25,5
100084598,25,5
100084648,25,5
100084671,25,5
100084734,25,5
100084758,25,5
100084795,25,5
100084822,25,5
100084850,25,5
100084882,25,5
100084885,25,5
100084921,25,5
100084931,25,5
100084954,25,5
100085015,25,5
100085037,25,5
100085272,25,5
100085333,25,5
100085358,25,5
100085430,25,5
100085513,25,5
100085571,25,5
100085642,25,5
100085914,25,5
100085936,25,5
100086151,25,5
100086178,25,5
100086244,25,5
100086261,25,5
100086329,25,5
100086583,25,5
100086625,25,5
100086687,25,5
100086847,25,5
100086850,25,5
100086854,25,5
100086998,25,5
100087067,25,5
100087083,25,5
100087266,25,5
100087575,25,5
100087630,25,5
