pid,uptake_year,uptake_group
120283,25,1
120428,25,1
120439,25,1
120688,25,1
120717,25,1
120946,25,1
121098,25,1
121547,25,1
121578,25,1
121595,25,1
121774,25,1
121788,25,1
121864,25,1
121897,25,1
121928,25,1
121965,25,1
121978,25,1
122424,25,1
122509,25,1
122907,25,1
123001,25,1
123219,25,1
123369,25,1
123442,25,1
123483,25,1
123917,25,1
124035,25,1
124331,25,1
124349,25,1
124427,25,1
124489,25,1
124532,25,1
124626,25,1
124722,25,1
124882,25,1
124948,25,1
125038,25,1
125059,25,1
125090,25,1
125370,25,1
125475,25,1
125578,25,1
125635,25,1
125654,25,1
125699,25,1
125989,25,1
126188,25,1
126257,25,1
126569,25,1
126611,25,1
126912,25,1
127012,25,1
127715,25,1
127947,25,1
127972,25,1
128082,25,1
128176,25,1
128779,25,1
128901,25,1
128915,25,1
128917,25,1
129069,25,1
129138,25,1
129258,25,1
129304,25,1
129418,25,1
129432,25,1
129518,25,1
129706,25,1
130092,25,1
130172,25,1
130174,25,1
130290,25,1
130382,25,1
130457,25,1
130797,25,1
130810,25,1
131350,25,1
131497,25,1
131609,25,1
131638,25,1
131794,25,1
131828,25,1
132136,25,1
132186,25,1
132244,25,1
132262,25,1
132266,25,1
133388,25,1
133596,25,1
133742,25,1
133772,25,1
133829,25,1
133942,25,1
134140,25,1
134261,25,1
134676,25,1
134714,25,1
134864,25,1
135093,25,1
135431,25,1
135545,25,1
135804,25,1
135876,25,1
136121,25,1
136132,25,1
136220,25,1
136717,25,1
137010,25,1
137057,25,1
137214,25,1
137223,25,1
137375,25,1
137491,25,1
137602,25,1
137752,25,1
137773,25,1
137940,25,1
137967,25,1
138360,25,1
138398,25,1
138645,25,1
139085,25,1
139140,25,1
139283,25,1
139284,25,1
139392,25,1
139490,25,1
139591,25,1
139593,25,1
139699,25,1
139825,25,1
139970,25,1
140347,25,1
140407,25,1
140436,25,1
140676,25,1
141071,25,1
141311,25,1
141469,25,1
141628,25,1
141686,25,1
141808,25,1
141820,25,1
141823,25,1
142458,25,1
142582,25,1
142627,25,1
142663,25,1
142764,25,1
142974,25,1
142985,25,1
143111,25,1
143189,25,1
143503,25,1
143504,25,1
143873,25,1
144069,25,1
144098,25,1
144879,25,1
144900,25,1
145035,25,1
145141,25,1
145233,25,1
145705,25,1
145727,25,1
145749,25,1
146416,25,1
146705,25,1
146771,25,1
146772,25,1
146811,25,1
146953,25,1
147153,25,1
147185,25,1
147408,25,1
147442,25,1
147515,25,1
147527,25,1
147662,25,1
147711,25,1
147844,25,1
147996,25,1
148370,25,1
148383,25,1
148409,25,1
148589,25,1
148598,25,1
148665,25,1
148676,25,1
148743,25,1
148772,25,1
148910,25,1
148930,25,1
148994,25,1
149168,25,1
149318,25,1
149433,25,1
149766,25,1
149838,25,1
149865,25,1
149869,25,1
150158,25,1
150554,25,1
150691,25,1
150997,25,1
151162,25,1
151316,25,1
151374,25,1
151746,25,1
151953,25,1
152358,25,1
152463,25,1
152630,25,1
152743,25,1
153108,25,1
153614,25,1
153658,25,1
153797,25,1
153856,25,1
153870,25,1
153912,25,1
153976,25,1
154164,25,1
154170,25,1
154365,25,1
154392,25,1
154783,25,1
155038,25,1
155088,25,1
155207,25,1
155633,25,1
155673,25,1
155816,25,1
155858,25,1
155874,25,1
155987,25,1
155995,25,1
156082,25,1
156178,25,1
156331,25,1
100001185,25,1
100001507,25,1
100002020,25,1
100002214,25,1
100003784,25,1
100003911,25,1
100006209,25,1
100006245,25,1
100006628,25,1
100006754,25,1
100008611,25,1
100008643,25,1
100010114,25,1
100010662,25,1
100012649,25,1
100014149,25,1
100015490,25,1
100015554,25,1
100016673,25,1
100016674,25,1
100017511,25,1
100018243,25,1
100018919,25,1
100019817,25,1
100021288,25,1
100021482,25,1
100021548,25,1
100023683,25,1
100024036,25,1
100024993,25,1
100026723,25,1
100027717,25,1
100027905,25,1
100028162,25,1
100029639,25,1
100029829,25,1
100030466,25,1
100030948,25,1
100031367,25,1
100031489,25,1
100032454,25,1
100032803,25,1
100032806,25,1
100033761,25,1
100033987,25,1
100034628,25,1
100035110,25,1
100036387,25,1
100037441,25,1
100037634,25,1
100037862,25,1
100038053,25,1
100038661,25,1
100038882,25,1
100039307,25,1
100039361,25,1
100039976,25,1
100041768,25,1
100043589,25,1
100043685,25,1
100045157,25,1
100045346,25,1
100045704,25,1
100045955,25,1
100047395,25,1
100047782,25,1
100050082,25,1
100050148,25,1
100050182,25,1
100050437,25,1
100051877,25,1
100052963,25,1
100055075,25,1
100055490,25,1
100056331,25,1
100056451,25,1
100057153,25,1
100057165,25,1
100057289,25,1
100057419,25,1
100057719,25,1
100057937,25,1
100058217,25,1
100058642,25,1
100058684,25,1
100058772,25,1
100058875,25,1
100059017,25,1
100059225,25,1
100059496,25,1
100059962,25,1
100060159,25,1
100060206,25,1
100060230,25,1
100060394,25,1
100060676,25,1
100060855,25,1
100061233,25,1
100061390,25,1
100061613,25,1
100061637,25,1
100061668,25,1
100061715,25,1
100061757,25,1
100061856,25,1
100061993,25,1
100062537,25,1
100062983,25,1
100063079,25,1
100063296,25,1
100063400,25,1
100063422,25,1
100063445,25,1
100063520,25,1
100063528,25,1
100063589,25,1
100063707,25,1
100063740,25,1
100063762,25,1
100063857,25,1
100063899,25,1
100063911,25,1
100063915,25,1
100064021,25,1
100064079,25,1
100064083,25,1
100064231,25,1
100064257,25,1
100064460,25,1
100064502,25,1
100064719,25,1
100064771,25,1
100064808,25,1
100065092,25,1
100065222,25,1
100065440,25,1
100065568,25,1
100065677,25,1
100065696,25,1
100065746,25,1
100065762,25,1
100065830,25,1
100065949,25,1
100066340,25,1
100066897,25,1
100067262,25,1
100067294,25,1
100067346,25,1
100067677,25,1
100067707,25,1
100067735,25,1
100067821,25,1
100067934,25,1
100067979,25,1
100068236,25,1
100068241,25,1
100068328,25,1
100068720,25,1
100068888,25,1
100068974,25,1
100069035,25,1
100069050,25,1
100069200,25,1
100069282,25,1
100069417,25,1
100069529,25,1
100069564,25,1
100069603,25,1
100069629,25,1
100070096,25,1
100070149,25,1
100070276,25,1
100070330,25,1
100070346,25,1
100070556,25,1
100070654,25,1
100070720,25,1
100070764,25,1
100070770,25,1
100070950,25,1
100070956,25,1
100071246,25,1
100071312,25,1
100071504,25,1
100071893,25,1
100072056,25,1
100072076,25,1
100072225,25,1
100072277,25,1
100072343,25,1
100072350,25,1
100072403,25,1
100072464,25,1
100072594,25,1
100072631,25,1
100073090,25,1
100073182,25,1
100073295,25,1
100073319,25,1
100073328,25,1
100073335,25,1
100073336,25,1
100073337,25,1
100073511,25,1
100073535,25,1
100074092,25,1
